timestamp,top_bid,top_ask,spread,bid_volume,ask_volume
09:37:38.119,71.85,71.86,0.01,11300,13400
09:37:38.120,71.84,71.86,0.02,11200,13400
09:37:38.120,71.85,71.86,0.01,11238,13400
09:37:38.121,71.84,71.86,0.02,11200,13400
09:37:41.786,71.85,71.86,0.01,11666,12700
09:37:44.670,71.84,71.86,0.02,11566,12500
09:37:44.670,71.84,71.85,0.01,11566,12900
09:37:49.217,71.83,71.85,0.02,11300,14465
09:37:49.218,71.84,71.85,0.01,11300,14765
09:37:49.245,71.83,71.85,0.02,11200,14765
09:37:49.245,71.83,71.84,0.01,11200,14965
09:37:50.101,71.82,71.84,0.02,11100,13900
09:37:50.101,71.83,71.84,0.01,11200,13900
09:37:50.103,71.82,71.84,0.02,11100,14100
09:37:50.112,71.82,71.83,0.01,10900,14600
09:37:50.114,71.82,71.84,0.02,10900,14100
09:37:50.115,71.83,71.84,0.01,11300,13900
09:37:50.193,71.82,71.84,0.02,11200,13800
09:37:50.627,71.82,71.83,0.01,11100,14200
09:37:50.628,71.82,71.84,0.02,11100,14100
09:37:50.628,71.82,71.83,0.01,11100,14200
09:37:50.638,71.82,71.84,0.02,11100,14100
09:37:50.645,71.83,71.84,0.01,11600,13800
09:37:50.805,71.82,71.84,0.02,11200,13800
09:37:50.837,71.82,71.83,0.01,11200,14100
09:37:52.204,71.81,71.83,0.02,11000,13000
09:37:52.207,71.81,71.82,0.01,10900,13900
09:37:54.201,71.8,71.82,0.02,10966,14100
09:37:54.202,71.81,71.82,0.01,10966,14200
09:37:55.231,71.8,71.82,0.02,11066,14400
09:37:55.231,71.8,71.81,0.01,11066,14600
09:37:55.769,71.79,71.81,0.02,11066,14100
09:37:55.771,71.8,71.81,0.01,11166,14100
09:37:55.792,71.79,71.81,0.02,11066,14000
09:37:55.804,71.78,71.81,0.03,10866,14700
09:37:55.805,71.77,71.81,0.04,10666,14700
09:37:55.807,71.76,71.81,0.05,10366,14700
09:37:55.813,71.77,71.81,0.04,10666,14900
09:37:55.818,71.78,71.81,0.03,10366,14900
09:37:55.824,71.79,71.81,0.02,10566,14900
09:37:55.847,71.78,71.81,0.03,10466,14900
09:37:55.855,71.79,71.81,0.02,10566,14900
09:37:55.871,71.79,71.8,0.01,10566,14800
09:37:55.883,71.78,71.8,0.02,10466,14800
09:37:55.883,71.78,71.79,0.01,10466,14900
09:37:55.987,71.78,71.8,0.02,10400,14100
09:37:55.989,71.79,71.8,0.01,11100,14100
09:37:56.528,71.78,71.8,0.02,10900,14100
09:37:56.530,71.78,71.79,0.01,10800,14900
09:37:56.531,71.77,71.79,0.02,10700,14900
09:37:56.719,71.77,71.8,0.03,10900,13200
09:37:56.737,71.78,71.8,0.02,11000,13000
09:37:56.905,71.79,71.8,0.01,11800,13100
09:37:57.220,71.78,71.8,0.02,11300,15600
09:37:57.220,71.78,71.79,0.01,11100,15800
09:37:57.711,71.77,71.79,0.02,10900,15800
